id,name,price,kcal,carbon,protein,fat,recipe,script
1,딥치즈베이컨햄버거,2800,473,38,15,29,1. 전자레인지에 50초간 돌려주세요.;,입안에서 느껴지는 진한 치즈
2,에그불고기치즈햄버거,2800,377,35,12,21,1. 전자레인지에 40초간 돌려주세요.;,계란 후라이와 데리야끼의 조합
3,점보치즈불고기버거,2800,655,54,21,40,1. 전자레인지에 40초간 돌려주세요.;,영국산 체다치즈의 깊은 풍미
4,망곰이의꿀호떡버거,3400,446,68,12,14,1. 띠부실을 제거하고 전자레인지에 40초간 돌려주세요.;,단짠하게 즐기는 간식용 버거
5,트리플불고기치즈버거,2700,708,47,22,48,1. 전자레인지에 40초간 돌려주세요.;,트리플 패치의 압도적 볼륨감
6,A1스테이크치즈버거,2800,454,40,15,26,1. 전자레인지에 40초간 조리해주세요.;,150년 전통의 미국 스테이크 소스의 대명사
7,뉴탑티어통닭다리살,3500,532,52,18,28,1. 전자레인지에 50초간 돌려주세요.;,탑티어 클래스 버거
8,콰트로타워버거,2700,503,52,13,27,1. 전자레인지에 40초간 돌려주세요.;,4단토핑의 존재감
9,국민불고기버거,3000,443,41,18,23,1. 전자레인지에 40초간 돌려주세요.;,기본에 충실한 불고기 버거
10,빅모짜직화불고기버거,3500,555,52,17,31,1. 전자레인지에 40초간 돌려주세요.;,모짜치즈와 불고기의 풍성함
