id,name,price,kcal,carbon,protein,fat,recipe,script
1,의성매콤땡초바,2400,190,8,9,14,1. 전자레인지에 30초간 조리해주세요.;,어디에나 어울리는 명품조연
2,의성마늘핫바,2400,200,3,9,17,1. 전자레인지에 30초간 조리해주세요.;,기본에 충실한 핫바
3,매콤후랑크,2300,160,8,10,10,1. 전자레인지에 30초간 조리해주세요.;,언제 어디서나
4,에센뽀득핫바,2400,160,3,9,12,1. 전자레인지에 30초간 조리해주세요.;,뿌리까지 맛있는 핫바
5,HEYROO핫바득템치즈,2500,479,3,14,22,1. 전자레인지에 30초간 조리해주세요.;,육즙가득한 고기핫바
6,청양닭가슴핫바,2500,128,3,11,8,1. 전자레인지에 30초간 조리해주세요.;,매콤하고 알싸한 맛
7,계란꼬치햄치즈맛,2500,201,13,17,9,1. 전자레인지에 30초간 조리해주세요.;,햄치즈빵빵
8,맥스봉크레이지핫바,2500,220,11,13,14,1. 전자레인지에 20초간 조리해주세요.;,매운맛 고수의 선택
9,맥스봉숯불맛핫바,2500,220,12,12,14,1. 전자레인지에 20초간 조리해주세요.;,기분이 저지압일 땐 고기압으로
10,맥스봉직화꼬치바,2500,205,7,13,14,1. 전자레인지에 20초간 조리해주세요.;,직화로 구워 더 맛있다
