id,name,price,kcal,carbon,protein,fat,recipe,script
1,한돈듬뿍김치제육,4200,558,91,17,14,1. 전자레인지에 2분간 조리해주세요.;,고기의 압도적 존재감
2,간장불고기정식,4900,747,95,31,27,1. 전자레인지에 2분간 조리해주세요.;,모두가 좋아하는 반찬과 불고기
3,백종원뉴매콤불고기,5000,703,99,25,23,1. 전자레인지에 2분간 조리해주세요.;,대충 먹지말고 든든하게
4,스팸돈까스정식,4900,753,93,21,33,1. 전자레인지에 2분간 조리해주세요.;,스팸과 국민반찬으로 즐거운 한끼
5,백종원김볶앤치쏘,4900,765,83,25,37,1. 전자레인지에 2분간 조리해주세요.;,진한 콘치즈와 김치의 콤비
6,동원리챔&참치김치,5500,690,85,29,26,1. 전자레인지에 2분간 조리해주세요.;,리챔과 참치로 만든 맛있는 정식
7,시그니처소불고기정식,5500,336,49,17,8,1. 전자레인지에 2분간 조리해주세요.;,달콤한 소불고기와 따뜻한 된장국
8,코난의혹의매운맛카레,4600,551,90,14,15,1. 띠부실을 제거하고 전자레인지에 2분간 조리해주세요.;,화려한 반찬의 압도적 비주얼
9,백종원뉴백반한판,4700,757,107,26,25,1. 전자레인지에 2분간 조리해주세요.;,푸짐한 12반찬을 한 판에
10,치킨마요덮밥,3900,653,74,15,33,1. 전자레인지에 1분 30초 조리해주세요.;,순살치킨과 고소한 마요네즈
