id,name,price,kcal,carbon,protein,fat,recipe,script
1,이건가요샌드위치,2700,405,61,11,13,1. 바로 먹어도 좋아요;,부드러운 빵과 달콤한 잼과 달걀
2,달콤맛있구마샌드,2800,434,55,4,22,1. 바로 먹어도 좋아요;,크림과 고구마과 두 배 더 달게
3,통밀햄,3300,329,33,20,13,1. 바로 먹어도 좋아요;,통밀식빵에 햄이 가득
4,햄에그치즈,3300,429,42,18,21,1. 바로 먹어도 좋아요;,아침에도 점심에도 알차게
5,통밀베이컨,3300,320,37,16,12,1. 바로 먹어도 좋아요;,고소한 통밀에 베이컨과 양상추가 듬뿍
6,하프&하프샌드,3200,295,28,12,15,1. 바로 먹어도 좋아요;,에그샐러드와 햄을 동시에
7,점보3단햄감자맛살,2800,416,66,11,12,1. 바로 먹어도 좋아요;,감자 샐러드와 오이와 맛살의 3단 통밀
8,뚱실에그&참치,3400,520,48,19,28,1. 바로 먹어도 좋아요;,참치와 샐러드로 푸짐하게
9,뚱실사라다샌드,3400,485,50,15,25,1. 바로 먹어도 좋아요;,듬뿍들어간 에그 샐러드와 오이의 조합
10,케이준치킨샌드,2800,455,65,15,15,1. 바로 먹어도 좋아요;,샌드위치여도 푸짐하게
